Current (A);Voltage (V);Electron current (pA) Run #20
-9.636E-13;14.227;0.964
-9.780E-13;14.238;0.978
-9.908E-13;14.257;0.991
-1.001E-12;14.286;1.001
-1.018E-12;14.320;1.018
-1.031E-12;14.376;1.031
-1.053E-12;14.441;1.053
-1.083E-12;14.505;1.083
-1.120E-12;14.581;1.120
-1.168E-12;14.645;1.168
-1.223E-12;14.703;1.223
-1.277E-12;14.761;1.277
-1.333E-12;14.805;1.333
-1.393E-12;14.849;1.393
-1.444E-12;14.872;1.444
-1.496E-12;14.903;1.496
-1.535E-12;14.944;1.535
-1.578E-12;14.975;1.578
-1.624E-12;15.022;1.624
-1.668E-12;15.069;1.668
-1.714E-12;15.111;1.714
-1.754E-12;15.146;1.754
-1.798E-12;15.172;1.798
-1.840E-12;15.217;1.840
-1.882E-12;15.254;1.882
-1.923E-12;15.275;1.923
-1.959E-12;15.288;1.959
-1.996E-12;15.301;1.996
-2.025E-12;15.350;2.025
-2.057E-12;15.432;2.057
-2.095E-12;15.492;2.095
-2.151E-12;15.525;2.151
-2.209E-12;15.551;2.209
-2.264E-12;15.612;2.264
-2.324E-12;15.650;2.324
-2.371E-12;15.669;2.371
-2.425E-12;15.675;2.425
-2.462E-12;15.690;2.462
-2.491E-12;15.701;2.491
-2.518E-12;15.693;2.518
-2.531E-12;15.692;2.531
-2.537E-12;15.697;2.537
-2.550E-12;15.696;2.550
-2.550E-12;15.695;2.550
-2.559E-12;15.696;2.559
-2.557E-12;15.691;2.557
-2.560E-12;15.696;2.560
-2.557E-12;15.695;2.557
-2.555E-12;15.697;2.555
-2.554E-12;15.695;2.554
-2.551E-12;15.696;2.551
-2.546E-12;15.697;2.546
-2.544E-12;15.696;2.544
-2.543E-12;15.697;2.543
-2.535E-12;15.697;2.535
-2.537E-12;15.696;2.537
-2.538E-12;15.696;2.538
-2.533E-12;15.694;2.533
-2.525E-12;15.697;2.525
-2.527E-12;15.698;2.527
-2.523E-12;15.697;2.523
-2.528E-12;15.694;2.528
-2.523E-12;15.696;2.523
-2.519E-12;15.698;2.519
-2.519E-12;15.699;2.519
-2.512E-12;15.697;2.512
-2.511E-12;15.699;2.511
-2.510E-12;15.696;2.510
-2.507E-12;15.702;2.507
-2.504E-12;15.696;2.504
-2.508E-12;15.708;2.508
-2.504E-12;15.697;2.504
-2.502E-12;15.697;2.502
-2.501E-12;15.694;2.501
-2.497E-12;15.699;2.497
-2.494E-12;15.699;2.494
-2.496E-12;15.699;2.496
-2.489E-12;15.697;2.489
-2.492E-12;15.697;2.492
-2.487E-12;15.698;2.487
-2.487E-12;15.698;2.487
-2.482E-12;15.698;2.482
-2.482E-12;15.697;2.482
-2.481E-12;15.696;2.481
-2.477E-12;15.697;2.477
-2.481E-12;15.698;2.481
-2.477E-12;15.698;2.477
-2.473E-12;15.699;2.473
-2.470E-12;15.697;2.470
-2.471E-12;15.697;2.471
-2.467E-12;15.702;2.467
-2.463E-12;15.697;2.463
-2.460E-12;15.699;2.460
-2.458E-12;15.700;2.458
-2.463E-12;15.699;2.463
-2.460E-12;15.703;2.460
-2.459E-12;15.711;2.459
-2.454E-12;15.700;2.454
-2.456E-12;15.702;2.456
-2.453E-12;15.703;2.453
-2.451E-12;15.704;2.451
-2.455E-12;15.703;2.455
-2.451E-12;15.705;2.451
-2.446E-12;15.703;2.446
-2.447E-12;15.704;2.447
-2.441E-12;15.692;2.441
-2.438E-12;15.700;2.438
-2.432E-12;15.703;2.432
-2.432E-12;15.702;2.432
-2.433E-12;15.702;2.433
-2.427E-12;15.701;2.427
-2.429E-12;15.700;2.429
-2.431E-12;15.702;2.431
-2.434E-12;15.700;2.434
-2.425E-12;15.701;2.425
-2.425E-12;15.702;2.425
-2.420E-12;15.708;2.420
-2.420E-12;15.702;2.420
-2.419E-12;15.699;2.419
-2.413E-12;15.703;2.413
-2.419E-12;15.702;2.419
-2.418E-12;15.701;2.418
-2.419E-12;15.702;2.419
-2.414E-12;15.703;2.414
-2.414E-12;15.703;2.414
-2.409E-12;15.703;2.409
-2.410E-12;15.714;2.410
-2.406E-12;15.704;2.406
-2.411E-12;15.703;2.411
-2.403E-12;15.706;2.403
-2.406E-12;15.701;2.406
-2.402E-12;15.701;2.402
-2.397E-12;15.702;2.397
-2.400E-12;15.703;2.400
-2.398E-12;15.703;2.398
-2.393E-12;15.703;2.393
-2.392E-12;15.702;2.392
-2.392E-12;15.703;2.392
-2.389E-12;15.702;2.389
-2.385E-12;15.697;2.385
-2.383E-12;15.689;2.383
-2.384E-12;15.700;2.384
-2.384E-12;15.703;2.384
-2.382E-12;15.703;2.382
-2.385E-12;15.698;2.385
-2.377E-12;15.701;2.377
-2.379E-12;15.703;2.379
-2.379E-12;15.705;2.379
-2.373E-12;15.705;2.373
-2.375E-12;15.701;2.375
-2.374E-12;15.705;2.374
-2.373E-12;15.746;2.373
-2.384E-12;15.823;2.384
-2.411E-12;15.865;2.411
-2.446E-12;15.884;2.446
-2.493E-12;15.910;2.493
-2.539E-12;15.946;2.539
-2.573E-12;15.988;2.573
-2.621E-12;16.045;2.621
-2.667E-12;16.077;2.667
-2.719E-12;16.100;2.719
-2.768E-12;16.135;2.768
-2.813E-12;16.171;2.813
-2.857E-12;16.215;2.857
-2.906E-12;16.280;2.906
-2.957E-12;16.353;2.957
-3.029E-12;16.428;3.029
-3.111E-12;16.512;3.111
-3.206E-12;16.568;3.206
-3.304E-12;16.596;3.304
-3.397E-12;16.612;3.397
-3.470E-12;16.612;3.470
-3.531E-12;16.612;3.531
-3.566E-12;16.606;3.566
-3.586E-12;16.616;3.586
-3.599E-12;16.619;3.599
-3.606E-12;16.639;3.606
-3.618E-12;16.657;3.618
-3.633E-12;16.675;3.633
-3.652E-12;16.688;3.652
-3.674E-12;16.691;3.674
-3.694E-12;16.692;3.694
-3.708E-12;16.703;3.708
-3.715E-12;16.709;3.715
-3.727E-12;16.712;3.727
-3.731E-12;16.709;3.731
-3.731E-12;16.712;3.731
-3.737E-12;16.711;3.737
-3.733E-12;16.711;3.733
-3.734E-12;16.712;3.734
-3.728E-12;16.711;3.728
-3.733E-12;16.711;3.733
-3.736E-12;16.712;3.736
-3.730E-12;16.709;3.730
-3.726E-12;16.711;3.726
-3.721E-12;16.709;3.721
-3.718E-12;16.711;3.718
-3.718E-12;16.711;3.718
-3.715E-12;16.712;3.715
-3.714E-12;16.712;3.714
-3.709E-12;16.711;3.709
-3.702E-12;16.709;3.702
-3.702E-12;16.713;3.702
-3.700E-12;16.710;3.700
-3.696E-12;16.711;3.696
-3.695E-12;16.713;3.695
-3.689E-12;16.710;3.689
-3.687E-12;16.712;3.687
-3.683E-12;16.712;3.683
-3.675E-12;16.712;3.675
-3.675E-12;16.712;3.675
-3.678E-12;16.712;3.678
-3.668E-12;16.715;3.668
-3.667E-12;16.710;3.667
-3.670E-12;16.712;3.670
-3.665E-12;16.715;3.665
-3.666E-12;16.711;3.666
-3.664E-12;16.715;3.664
-3.658E-12;16.713;3.658
-3.653E-12;16.712;3.653
-3.650E-12;16.713;3.650
-3.648E-12;16.713;3.648
-3.643E-12;16.711;3.643
-3.638E-12;16.709;3.638
-3.631E-12;16.709;3.631
-3.633E-12;16.710;3.633
-3.633E-12;16.711;3.633
-3.627E-12;16.715;3.627
-3.623E-12;16.710;3.623
-3.623E-12;16.711;3.623
-3.620E-12;16.712;3.620
-3.614E-12;16.712;3.614
-3.610E-12;16.711;3.610
-3.606E-12;16.707;3.606
-3.606E-12;16.712;3.606
-3.604E-12;16.710;3.604
-3.601E-12;16.710;3.601
-3.600E-12;16.711;3.600
-3.597E-12;16.711;3.597
-3.593E-12;16.710;3.593
-3.588E-12;16.710;3.588
-3.585E-12;16.712;3.585
-3.582E-12;16.713;3.582
-3.585E-12;16.713;3.585
-3.578E-12;16.712;3.578
-3.573E-12;16.713;3.573
-3.574E-12;16.717;3.574
-3.572E-12;16.711;3.572
-3.569E-12;16.718;3.569
-3.565E-12;16.713;3.565
-3.556E-12;16.714;3.556
-3.560E-12;16.737;3.560
-3.565E-12;16.761;3.565
-3.576E-12;16.786;3.576
-3.598E-12;16.804;3.598
-3.620E-12;16.844;3.620
-3.653E-12;16.880;3.653
-3.691E-12;16.923;3.691
-3.733E-12;16.961;3.733
-3.779E-12;17.005;3.779
-3.836E-12;17.071;3.836
-3.892E-12;17.118;3.892
-3.961E-12;17.149;3.961
-4.028E-12;17.188;4.028
-4.087E-12;17.219;4.087
-4.145E-12;17.253;4.145
-4.199E-12;17.308;4.199
-4.257E-12;17.388;4.257
-4.330E-12;17.460;4.330
-4.415E-12;17.517;4.415
-4.510E-12;17.572;4.510
-4.603E-12;17.630;4.603
-4.691E-12;17.693;4.691
-4.776E-12;17.734;4.776
-4.866E-12;17.750;4.866
-4.935E-12;17.764;4.935
-4.990E-12;17.770;4.990
-5.029E-12;17.781;5.029
-5.062E-12;17.788;5.062
-5.084E-12;17.791;5.084
-5.100E-12;17.800;5.100
-5.112E-12;17.792;5.112
-5.118E-12;17.793;5.118
-5.125E-12;17.791;5.125
-5.126E-12;17.791;5.126
-5.122E-12;17.792;5.122
-5.118E-12;17.795;5.118
-5.116E-12;17.795;5.116
-5.113E-12;17.791;5.113
-5.109E-12;17.798;5.109
-5.101E-12;17.794;5.101
-5.100E-12;17.792;5.100
-5.092E-12;17.793;5.092
-5.086E-12;17.796;5.086
-5.089E-12;17.793;5.089
-5.081E-12;17.793;5.081
-5.077E-12;17.793;5.077
-5.074E-12;17.788;5.074
-5.069E-12;17.794;5.069
-5.067E-12;17.793;5.067
-5.060E-12;17.789;5.060
-5.055E-12;17.793;5.055
-5.050E-12;17.794;5.050
-5.044E-12;17.798;5.044
-5.039E-12;17.796;5.039
-5.037E-12;17.794;5.037
-5.029E-12;17.793;5.029
-5.023E-12;17.793;5.023
-5.021E-12;17.796;5.021
-5.015E-12;17.793;5.015
-5.012E-12;17.795;5.012
-5.007E-12;17.795;5.007
-4.998E-12;17.792;4.998
-4.999E-12;17.795;4.999
-4.992E-12;17.793;4.992
-4.991E-12;17.793;4.991
-4.980E-12;17.793;4.980
-4.977E-12;17.797;4.977
-4.973E-12;17.790;4.973
-4.965E-12;17.794;4.965
-4.961E-12;17.790;4.961
-4.959E-12;17.799;4.959
-4.959E-12;17.792;4.959
-4.950E-12;17.793;4.950
-4.954E-12;17.793;4.954
-4.948E-12;17.793;4.948
-4.938E-12;17.794;4.938
-4.935E-12;17.792;4.935
-4.928E-12;17.792;4.928
-4.917E-12;17.796;4.917
-4.914E-12;17.790;4.914
-4.904E-12;17.794;4.904
-4.903E-12;17.795;4.903
-4.898E-12;17.793;4.898
-4.888E-12;17.785;4.888
-4.891E-12;17.793;4.891
-4.884E-12;17.792;4.884
-4.880E-12;17.791;4.880
-4.877E-12;17.792;4.877
-4.876E-12;17.795;4.876
-4.870E-12;17.790;4.870
-4.863E-12;17.794;4.863
-4.859E-12;17.794;4.859
-4.853E-12;17.794;4.853
-4.851E-12;17.793;4.851
-4.845E-12;17.794;4.845
-4.843E-12;17.794;4.843
-4.838E-12;17.793;4.838
-4.835E-12;17.791;4.835
-4.829E-12;17.793;4.829
-4.829E-12;17.793;4.829
-4.826E-12;17.790;4.826
-4.821E-12;17.793;4.821
-4.813E-12;17.790;4.813
-4.810E-12;17.795;4.810
-4.803E-12;17.787;4.803
-4.796E-12;17.786;4.796
-4.790E-12;17.791;4.790
-4.787E-12;17.792;4.787
-4.784E-12;17.793;4.784
-4.782E-12;17.789;4.782
-4.782E-12;17.794;4.782
-4.779E-12;17.791;4.779
-4.775E-12;17.793;4.775
-4.771E-12;17.793;4.771
-4.770E-12;17.793;4.770
-4.764E-12;17.794;4.764
-4.761E-12;17.790;4.761
-4.753E-12;17.793;4.753
-4.748E-12;17.793;4.748
-4.743E-12;17.798;4.743
-4.740E-12;17.795;4.740
-4.735E-12;17.793;4.735
-4.735E-12;17.786;4.735
-4.728E-12;17.793;4.728
-4.725E-12;17.792;4.725
-4.720E-12;17.792;4.720
-4.718E-12;17.795;4.718
-4.715E-12;17.795;4.715
-4.715E-12;17.793;4.715
-4.710E-12;17.789;4.710
-4.710E-12;17.791;4.710
-4.709E-12;17.794;4.709
-4.704E-12;17.794;4.704
-4.697E-12;17.795;4.697
-4.693E-12;17.792;4.693
-4.686E-12;17.794;4.686
-4.684E-12;17.794;4.684
-4.684E-12;17.795;4.684
-4.679E-12;17.794;4.679
-4.672E-12;17.799;4.672
-4.674E-12;17.793;4.674
-4.669E-12;17.794;4.669
-4.667E-12;17.793;4.667
-4.661E-12;17.792;4.661
-4.657E-12;17.797;4.657
-4.656E-12;17.791;4.656
-4.651E-12;17.791;4.651
-4.647E-12;17.794;4.647
-4.644E-12;17.792;4.644
-4.637E-12;17.794;4.637
-4.633E-12;17.793;4.633
-4.632E-12;17.794;4.632
-4.631E-12;17.793;4.631
-4.631E-12;17.796;4.631
-4.634E-12;17.793;4.634
-4.631E-12;17.794;4.631
-4.635E-12;17.789;4.635
-4.631E-12;17.792;4.631
-4.632E-12;17.792;4.632
-4.626E-12;17.793;4.626
-4.622E-12;17.793;4.622
-4.624E-12;17.792;4.624
-4.619E-12;17.795;4.619
-4.615E-12;17.793;4.615
-4.613E-12;17.793;4.613
-4.609E-12;17.794;4.609
-4.605E-12;17.787;4.605
-4.600E-12;17.792;4.600
-4.591E-12;17.793;4.591
-4.586E-12;17.804;4.586
-4.585E-12;17.799;4.585
-4.578E-12;17.792;4.578
-4.576E-12;17.794;4.576
-4.569E-12;17.793;4.569
-4.570E-12;17.800;4.570
-4.566E-12;17.795;4.566
-4.563E-12;17.794;4.563
-4.561E-12;17.796;4.561
-4.560E-12;17.793;4.560
-4.558E-12;17.795;4.558
-4.558E-12;17.793;4.558
-4.553E-12;17.792;4.553
-4.553E-12;17.795;4.553
-4.547E-12;17.793;4.547
-4.545E-12;17.793;4.545
-4.542E-12;17.795;4.542
-4.539E-12;17.794;4.539
-4.534E-12;17.796;4.534
-4.535E-12;17.793;4.535
-4.529E-12;17.794;4.529
-4.524E-12;17.792;4.524
-4.525E-12;17.784;4.525
-4.522E-12;17.795;4.522
-4.519E-12;17.793;4.519
-4.518E-12;17.792;4.518
-4.513E-12;17.794;4.513
-4.512E-12;17.794;4.512
-4.505E-12;17.794;4.505
-4.504E-12;17.795;4.504
