"Current (A) Run #31","Voltage (V) Run #31","Electron current (pA) Run #31"
-1.283E-13,26.961,0.128
-1.242E-13,26.970,0.124
-1.283E-13,27.006,0.128
-1.285E-13,27.048,0.129
-1.231E-13,27.063,0.123
-1.233E-13,27.100,0.123
-1.269E-13,27.178,0.127
-1.274E-13,27.214,0.127
-1.213E-13,27.238,0.121
-1.217E-13,27.284,0.122
-1.267E-13,27.330,0.127
-1.264E-13,27.348,0.126
-1.247E-13,27.373,0.125
-1.241E-13,27.410,0.124
-1.242E-13,27.426,0.124
-1.277E-13,27.430,0.128
-1.255E-13,27.453,0.125
-1.228E-13,27.514,0.123
-1.240E-13,27.548,0.124
-1.249E-13,27.564,0.125
-1.266E-13,27.624,0.127
-1.219E-13,27.681,0.122
-1.262E-13,27.703,0.126
-1.290E-13,27.718,0.129
-1.247E-13,27.796,0.125
-1.258E-13,27.854,0.126
-1.238E-13,27.876,0.124
-1.233E-13,27.895,0.123
-1.243E-13,27.988,0.124
-1.228E-13,28.114,0.123
-1.261E-13,28.178,0.126
-1.290E-13,28.202,0.129
-1.266E-13,28.237,0.127
-1.235E-13,28.364,0.124
-1.262E-13,28.463,0.126
-1.244E-13,28.500,0.124
-1.252E-13,28.516,0.125
-1.279E-13,28.520,0.128
-1.280E-13,28.520,0.128
-1.244E-13,28.532,0.124
-1.259E-13,28.577,0.126
-1.296E-13,28.636,0.130
-1.286E-13,28.707,0.129
-1.285E-13,28.781,0.129
-1.303E-13,28.858,0.130
-1.281E-13,28.940,0.128
-1.292E-13,29.024,0.129
-1.350E-13,29.066,0.135
-1.340E-13,29.120,0.134
-1.297E-13,29.189,0.130
-1.293E-13,29.277,0.129
-1.333E-13,29.402,0.133
-1.349E-13,29.509,0.135
-1.389E-13,29.593,0.139
-1.393E-13,29.648,0.139
-1.413E-13,29.684,0.141
-1.403E-13,29.756,0.140
-1.402E-13,29.814,0.140
-1.409E-13,29.896,0.141
-1.422E-13,29.984,0.142
-1.400E-13,30.065,0.140
-1.406E-13,30.105,0.141
-1.400E-13,30.134,0.140
-1.443E-13,30.155,0.144
-1.448E-13,30.190,0.145
-1.505E-13,30.238,0.151
-1.465E-13,30.271,0.146
-1.476E-13,30.304,0.148
-1.447E-13,30.372,0.145
-1.468E-13,30.446,0.147
-1.462E-13,30.532,0.146
-1.519E-13,30.618,0.152
-1.567E-13,30.711,0.157
-1.532E-13,30.838,0.153
-1.563E-13,30.916,0.156
-1.533E-13,30.986,0.153
-1.509E-13,31.057,0.151
-1.514E-13,31.118,0.151
-1.510E-13,31.166,0.151
-1.473E-13,31.233,0.147
-1.450E-13,31.311,0.145
-1.461E-13,31.345,0.146
-1.480E-13,31.358,0.148
-1.471E-13,31.360,0.147
-1.476E-13,31.363,0.148
-1.452E-13,31.364,0.145
-1.473E-13,31.361,0.147
-1.488E-13,31.365,0.149
-1.480E-13,31.366,0.148
-1.449E-13,31.368,0.145
-1.482E-13,31.396,0.148
-1.480E-13,31.445,0.148
-1.483E-13,31.504,0.148
-1.534E-13,31.603,0.153
-1.490E-13,31.680,0.149
-1.476E-13,31.764,0.148
-1.536E-13,31.810,0.154
-1.497E-13,31.868,0.150
-1.457E-13,31.934,0.146
-1.513E-13,31.967,0.151
-1.518E-13,32.037,0.152
-1.454E-13,32.128,0.145
-1.507E-13,32.168,0.151
-1.516E-13,32.195,0.152
-1.539E-13,32.248,0.154
-1.565E-13,32.320,0.156
-1.540E-13,32.373,0.154
-1.557E-13,32.431,0.156
-1.565E-13,32.456,0.157
-1.573E-13,32.477,0.157
-1.592E-13,32.501,0.159
-1.578E-13,32.547,0.158
-1.596E-13,32.606,0.160
-1.620E-13,32.664,0.162
-1.581E-13,32.729,0.158
-1.623E-13,32.788,0.162
-1.610E-13,32.858,0.161
-1.592E-13,32.902,0.159
-1.611E-13,32.954,0.161
-1.553E-13,32.998,0.155
-1.559E-13,33.034,0.156
-1.572E-13,33.073,0.157
-1.618E-13,33.107,0.162
-1.636E-13,33.129,0.164
-1.643E-13,33.160,0.164
-1.683E-13,33.182,0.168
-1.646E-13,33.225,0.165
-1.659E-13,33.290,0.166
-1.679E-13,33.349,0.168
-1.657E-13,33.431,0.166
-1.666E-13,33.504,0.167
-1.719E-13,33.551,0.172
-1.696E-13,33.609,0.170
-1.662E-13,33.653,0.166
-1.719E-13,33.730,0.172
-1.631E-13,33.784,0.163
-1.691E-13,33.837,0.169
-1.698E-13,33.893,0.170
-1.649E-13,33.962,0.165
-1.647E-13,34.031,0.165
-1.667E-13,34.103,0.167
-1.682E-13,34.159,0.168
-1.646E-13,34.199,0.165
-1.642E-13,34.242,0.164
-1.689E-13,34.275,0.169
-1.635E-13,34.303,0.164
-1.661E-13,34.334,0.166
-1.654E-13,34.367,0.165
-1.625E-13,34.388,0.162
-1.683E-13,34.417,0.168
-1.630E-13,34.454,0.163
-1.660E-13,34.479,0.166
-1.634E-13,34.488,0.163
-1.637E-13,34.490,0.164
-1.665E-13,34.494,0.167
-1.635E-13,34.496,0.163
