Current (A),Voltage (V),Electron current (pA)
-1.092E-13,12.505,0.109
-1.062E-13,12.505,0.106
-1.067E-13,12.508,0.107
-1.039E-13,12.509,0.104
-1.028E-13,12.525,0.103
-1.023E-13,12.569,0.102
-1.012E-13,12.591,0.101
-1.074E-13,12.608,0.107
-1.114E-13,12.641,0.111
-1.146E-13,12.663,0.115
-1.173E-13,12.677,0.117
-1.250E-13,12.698,0.125
-1.290E-13,12.745,0.129
-1.303E-13,12.787,0.130
-1.369E-13,12.823,0.137
-1.384E-13,12.851,0.138
-1.442E-13,12.882,0.144
-1.510E-13,12.907,0.151
-1.573E-13,12.942,0.157
-1.681E-13,12.968,0.168
-1.729E-13,12.994,0.173
-1.779E-13,13.041,0.178
-1.859E-13,13.064,0.186
-1.938E-13,13.085,0.194
-1.994E-13,13.115,0.199
-2.049E-13,13.151,0.205
-2.133E-13,13.172,0.213
-2.211E-13,13.200,0.221
-2.256E-13,13.235,0.226
-2.336E-13,13.277,0.234
-2.445E-13,13.297,0.244
-2.516E-13,13.318,0.252
-2.593E-13,13.347,0.259
-2.693E-13,13.375,0.269
-2.745E-13,13.397,0.274
-2.818E-13,13.423,0.282
-2.824E-13,13.454,0.282
-2.870E-13,13.461,0.287
-2.917E-13,13.498,0.292
-2.942E-13,13.518,0.294
-2.974E-13,13.529,0.297
-3.036E-13,13.547,0.304
-3.109E-13,13.575,0.311
-3.156E-13,13.595,0.316
-3.220E-13,13.613,0.322
-3.313E-13,13.631,0.331
-3.402E-13,13.642,0.340
-3.432E-13,13.656,0.343
-3.506E-13,13.680,0.351
-3.624E-13,13.704,0.362
-3.704E-13,13.717,0.370
-3.823E-13,13.732,0.382
-3.884E-13,13.751,0.388
-3.957E-13,13.758,0.396
-4.039E-13,13.768,0.404
-4.036E-13,13.787,0.404
-4.103E-13,13.807,0.410
-4.162E-13,13.827,0.416
-4.240E-13,13.834,0.424
-4.305E-13,13.852,0.431
-4.353E-13,13.839,0.435
-4.436E-13,13.849,0.444
-4.452E-13,13.871,0.445
-4.517E-13,13.890,0.452
-4.555E-13,13.898,0.456
-4.652E-13,13.889,0.465
