Current (A),Voltage (V),Electron current (pA)
-1.485E-11,36.746,14.847
-1.483E-11,36.772,14.833
-1.481E-11,36.783,14.815
-1.479E-11,36.800,14.787
-1.476E-11,36.796,14.762
-1.473E-11,36.805,14.733
-1.472E-11,36.811,14.716
-1.470E-11,36.811,14.702
-1.469E-11,36.818,14.689
-1.468E-11,36.838,14.677
-1.466E-11,36.844,14.660
-1.464E-11,36.859,14.642
-1.462E-11,36.865,14.622
-1.460E-11,36.878,14.603
-1.458E-11,36.895,14.580
-1.456E-11,36.907,14.555
-1.453E-11,36.921,14.525
-1.450E-11,36.937,14.500
-1.447E-11,36.943,14.471
-1.445E-11,36.941,14.450
-1.443E-11,36.945,14.428
-1.441E-11,36.939,14.408
-1.440E-11,36.962,14.403
-1.439E-11,36.973,14.392
-1.438E-11,36.987,14.381
-1.436E-11,36.997,14.362
-1.434E-11,37.003,14.338
-1.432E-11,37.017,14.317
-1.429E-11,37.018,14.293
-1.428E-11,37.022,14.281
-1.428E-11,37.031,14.275
-1.427E-11,37.029,14.268
-1.427E-11,37.034,14.270
-1.426E-11,37.041,14.264
-1.426E-11,37.049,14.262
-1.425E-11,37.054,14.253
-1.425E-11,37.073,14.248
-1.423E-11,37.088,14.229
-1.421E-11,37.095,14.205
-1.418E-11,37.097,14.181
-1.416E-11,37.098,14.162
-1.415E-11,37.108,14.146
-1.414E-11,37.119,14.137
-1.413E-11,37.116,14.131
-1.412E-11,37.123,14.120
-1.411E-11,37.127,14.110
-1.411E-11,37.133,14.105
-1.409E-11,37.137,14.092
-1.408E-11,37.144,14.083
-1.408E-11,37.139,14.081
-1.407E-11,37.152,14.072
-1.406E-11,37.168,14.063
-1.405E-11,37.182,14.050
-1.403E-11,37.191,14.030
-1.400E-11,37.198,14.004
-1.399E-11,37.206,13.989
-1.397E-11,37.203,13.970
-1.396E-11,37.209,13.958
-1.395E-11,37.212,13.946
-1.394E-11,37.239,13.936
-1.392E-11,37.260,13.917
-1.389E-11,37.278,13.888
-1.386E-11,37.284,13.859
-1.383E-11,37.288,13.826
-1.380E-11,37.289,13.802
-1.378E-11,37.295,13.785
-1.377E-11,37.310,13.767
-1.376E-11,37.315,13.757
-1.374E-11,37.324,13.744
-1.373E-11,37.329,13.730
-1.371E-11,37.351,13.714
-1.369E-11,37.359,13.691
-1.367E-11,37.372,13.671
-1.365E-11,37.393,13.649
-1.362E-11,37.406,13.622
-1.359E-11,37.415,13.591
-1.356E-11,37.415,13.559
-1.354E-11,37.416,13.537
-1.352E-11,37.425,13.520
-1.351E-11,37.429,13.506
-1.349E-11,37.425,13.493
-1.348E-11,37.443,13.483
-1.347E-11,37.454,13.467
-1.346E-11,37.467,13.458
-1.344E-11,37.477,13.443
-1.343E-11,37.486,13.428
-1.341E-11,37.503,13.405
-1.338E-11,37.513,13.381
-1.336E-11,37.520,13.357
-1.334E-11,37.527,13.337
-1.332E-11,37.534,13.317
-1.330E-11,37.536,13.296
-1.328E-11,37.548,13.283
-1.327E-11,37.561,13.267
-1.325E-11,37.576,13.251
-1.323E-11,37.582,13.228
-1.320E-11,37.586,13.202
-1.318E-11,37.596,13.181
-1.316E-11,37.609,13.163
-1.315E-11,37.621,13.146
-1.312E-11,37.625,13.125
-1.311E-11,37.627,13.108
-1.310E-11,37.634,13.098
-1.308E-11,37.649,13.081
-1.307E-11,37.654,13.075
-1.306E-11,37.658,13.056
-1.304E-11,37.660,13.044
-1.303E-11,37.662,13.034
-1.303E-11,37.664,13.027
-1.302E-11,37.666,13.021
-1.302E-11,37.671,13.024
-1.302E-11,37.684,13.023
-1.302E-11,37.683,13.022
-1.301E-11,37.692,13.012
-1.301E-11,37.701,13.006
-1.300E-11,37.702,12.996
-1.299E-11,37.710,12.987
-1.297E-11,37.722,12.969
-1.297E-11,37.734,12.967
-1.295E-11,37.741,12.952
-1.294E-11,37.746,12.935
-1.292E-11,37.756,12.923
-1.291E-11,37.762,12.909
-1.289E-11,37.753,12.895
-1.288E-11,37.775,12.881
-1.287E-11,37.782,12.871
-1.286E-11,37.796,12.860
-1.284E-11,37.801,12.844
-1.283E-11,37.813,12.826
-1.281E-11,37.819,12.813
-1.279E-11,37.822,12.795
-1.278E-11,37.828,12.781
-1.278E-11,37.836,12.775
-1.276E-11,37.850,12.764
-1.275E-11,37.861,12.753
-1.274E-11,37.870,12.737
-1.272E-11,37.864,12.720
-1.271E-11,37.862,12.713
-1.270E-11,37.866,12.699
-1.270E-11,37.881,12.698
-1.269E-11,37.887,12.689
-1.269E-11,37.886,12.685
-1.267E-11,37.892,12.671
-1.267E-11,37.901,12.669
-1.266E-11,37.905,12.659
-1.265E-11,37.910,12.651
-1.264E-11,37.910,12.643
-1.264E-11,37.908,12.638
-1.264E-11,37.902,12.640
-1.264E-11,37.915,12.643
-1.264E-11,37.916,12.644
-1.264E-11,37.926,12.643
-1.264E-11,37.935,12.637
-1.264E-11,37.944,12.637
-1.262E-11,37.946,12.624
-1.262E-11,37.943,12.622
-1.261E-11,37.948,12.608
-1.261E-11,37.955,12.612
-1.260E-11,37.966,12.605
-1.260E-11,37.979,12.598
-1.258E-11,37.985,12.584
-1.257E-11,37.986,12.574
-1.256E-11,37.989,12.565
-1.256E-11,37.986,12.558
-1.255E-11,37.989,12.553
-1.255E-11,38.000,12.554
-1.255E-11,38.005,12.552
-1.254E-11,38.009,12.544
-1.254E-11,38.013,12.540
-1.254E-11,38.018,12.536
-1.253E-11,38.027,12.527
-1.252E-11,38.034,12.520
-1.252E-11,38.040,12.516
-1.251E-11,38.046,12.512
-1.250E-11,38.043,12.501
-1.250E-11,38.042,12.496
-1.250E-11,38.048,12.497
-1.250E-11,38.056,12.497
-1.249E-11,38.062,12.493
-1.249E-11,38.072,12.487
-1.248E-11,38.076,12.477
-1.247E-11,38.088,12.470
-1.246E-11,38.097,12.457
-1.245E-11,38.095,12.451
-1.244E-11,38.104,12.437
-1.243E-11,38.117,12.425
-1.242E-11,38.130,12.416
-1.240E-11,38.139,12.404
-1.239E-11,38.140,12.389
-1.238E-11,38.143,12.378
-1.237E-11,38.144,12.368
-1.236E-11,38.152,12.365
-1.237E-11,38.154,12.365
-1.236E-11,38.160,12.360
-1.236E-11,38.164,12.363
-1.236E-11,38.165,12.355
-1.235E-11,38.171,12.352
-1.235E-11,38.175,12.345
-1.234E-11,38.185,12.338
-1.234E-11,38.188,12.340
-1.233E-11,38.207,12.334
-1.233E-11,38.214,12.330
-1.232E-11,38.212,12.323
-1.231E-11,38.211,12.313
-1.231E-11,38.222,12.308
-1.230E-11,38.242,12.303
-1.229E-11,38.262,12.292
-1.227E-11,38.266,12.270
-1.226E-11,38.266,12.259
-1.224E-11,38.205,12.244
-1.225E-11,38.152,12.253
-1.229E-11,38.131,12.294
-1.235E-11,38.122,12.352
-1.241E-11,38.120,12.409
-1.246E-11,38.119,12.456
-1.249E-11,38.155,12.492
-1.250E-11,38.199,12.500
-1.249E-11,38.248,12.486
-1.244E-11,38.267,12.444
-1.240E-11,38.281,12.396
-1.235E-11,38.289,12.352
-1.231E-11,38.295,12.313
-1.229E-11,38.313,12.286
-1.227E-11,38.314,12.268
-1.226E-11,38.325,12.257
-1.224E-11,38.344,12.241
-1.223E-11,38.393,12.228
-1.220E-11,38.410,12.204
-1.217E-11,38.424,12.170
-1.214E-11,38.424,12.143
-1.211E-11,38.434,12.113
-1.210E-11,38.439,12.096
-1.208E-11,38.452,12.078
-1.207E-11,38.464,12.071
-1.207E-11,38.476,12.065
-1.205E-11,38.479,12.051
-1.204E-11,38.490,12.039
-1.203E-11,38.505,12.026
-1.203E-11,38.512,12.026
-1.202E-11,38.519,12.019
-1.201E-11,38.524,12.012
-1.201E-11,38.531,12.008
-1.200E-11,38.539,12.003
-1.200E-11,38.547,11.996
-1.199E-11,38.552,11.994
-1.199E-11,38.562,11.991
-1.199E-11,38.588,11.986
-1.198E-11,38.589,11.984
-1.197E-11,38.603,11.975
-1.197E-11,38.625,11.969
-1.196E-11,38.625,11.965
-1.196E-11,38.637,11.957
-1.195E-11,38.651,11.952
-1.194E-11,38.660,11.944
-1.194E-11,38.685,11.936
-1.192E-11,38.684,11.924
-1.191E-11,38.694,11.914
-1.191E-11,38.702,11.905
-1.190E-11,38.721,11.902
-1.190E-11,38.727,11.896
-1.189E-11,38.728,11.893
-1.189E-11,38.736,11.889
-1.189E-11,38.754,11.889
-1.189E-11,38.765,11.894
-1.189E-11,38.773,11.891
-1.189E-11,38.780,11.889
-1.188E-11,38.798,11.885
-1.189E-11,38.816,11.885
-1.189E-11,38.821,11.887
-1.189E-11,38.825,11.889
-1.189E-11,38.829,11.892
-1.189E-11,38.840,11.892
-1.190E-11,38.849,11.898
-1.190E-11,38.880,11.903
-1.190E-11,38.890,11.903
-1.191E-11,38.899,11.907
-1.191E-11,38.909,11.908
-1.191E-11,38.917,11.912
-1.192E-11,38.917,11.919
-1.192E-11,38.933,11.921
-1.193E-11,38.944,11.926
-1.193E-11,38.957,11.932
-1.194E-11,38.975,11.938
-1.194E-11,38.991,11.945
-1.195E-11,38.994,11.949
-1.196E-11,39.008,11.957
-1.196E-11,39.027,11.965
-1.198E-11,39.043,11.977
-1.198E-11,39.065,11.985
-1.199E-11,39.073,11.994
-1.201E-11,39.086,12.005
-1.202E-11,39.099,12.019
-1.203E-11,39.110,12.031
-1.204E-11,39.122,12.044
-1.206E-11,39.131,12.060
-1.207E-11,39.132,12.071
-1.208E-11,39.143,12.081
-1.210E-11,39.162,12.095
-1.211E-11,39.182,12.109
-1.212E-11,39.193,12.124
-1.214E-11,39.206,12.139
-1.216E-11,39.221,12.157
-1.218E-11,39.230,12.178
-1.219E-11,39.241,12.188
-1.221E-11,39.254,12.212
-1.223E-11,39.270,12.226
-1.225E-11,39.284,12.249
-1.227E-11,39.287,12.268
-1.229E-11,39.298,12.290
-1.230E-11,39.313,12.304
-1.232E-11,39.322,12.325
-1.234E-11,39.329,12.344
-1.236E-11,39.341,12.364
-1.239E-11,39.358,12.387
-1.241E-11,39.358,12.411
-1.244E-11,39.360,12.436
-1.245E-11,39.363,12.451
-1.247E-11,39.362,12.470
-1.248E-11,39.377,12.483
-1.250E-11,39.385,12.503
-1.252E-11,39.409,12.517
-1.254E-11,39.415,12.541
-1.257E-11,39.420,12.566
-1.259E-11,39.422,12.590
-1.261E-11,39.422,12.610
-1.263E-11,39.420,12.632
-1.264E-11,39.421,12.640
-1.266E-11,39.420,12.657
-1.266E-11,39.422,12.661
-1.267E-11,39.420,12.674
-1.268E-11,39.416,12.683
-1.269E-11,39.419,12.688
-1.269E-11,39.421,12.691
-1.270E-11,39.418,12.700
-1.271E-11,39.421,12.708
-1.272E-11,39.420,12.716
-1.273E-11,39.421,12.726
-1.273E-11,39.422,12.731
-1.273E-11,39.423,12.732
-1.274E-11,39.437,12.743
-1.275E-11,39.461,12.752
-1.277E-11,39.479,12.774
-1.279E-11,39.487,12.795
-1.283E-11,39.503,12.828
-1.286E-11,39.520,12.862
-1.290E-11,39.528,12.897
-1.293E-11,39.538,12.934
-1.297E-11,39.557,12.967
-1.299E-11,39.566,12.989
-1.303E-11,39.572,13.027
-1.306E-11,39.571,13.062
-1.309E-11,39.571,13.091
-1.311E-11,39.574,13.113
-1.313E-11,39.573,13.133
-1.314E-11,39.573,13.140
-1.316E-11,39.570,13.155
-1.316E-11,39.572,13.162
-1.317E-11,39.573,13.173
-1.318E-11,39.573,13.183
-1.319E-11,39.572,13.193
-1.320E-11,39.573,13.201
-1.321E-11,39.576,13.206
-1.321E-11,39.578,13.209
-1.322E-11,39.572,13.217
-1.322E-11,39.573,13.225
-1.324E-11,39.572,13.235
-1.324E-11,39.572,13.240
-1.324E-11,39.575,13.243
-1.325E-11,39.572,13.252
-1.326E-11,39.571,13.264
-1.327E-11,39.571,13.269
-1.328E-11,39.572,13.282
-1.329E-11,39.568,13.285
-1.329E-11,39.575,13.292
-1.330E-11,39.571,13.302
-1.330E-11,39.573,13.303
-1.331E-11,39.574,13.312
-1.333E-11,39.564,13.326
-1.333E-11,39.572,13.327
-1.333E-11,39.574,13.332
-1.334E-11,39.570,13.338
-1.334E-11,39.572,13.342
-1.335E-11,39.582,13.346
-1.336E-11,39.572,13.357
-1.337E-11,39.572,13.367
-1.337E-11,39.573,13.373
-1.338E-11,39.572,13.376
-1.338E-11,39.572,13.382
-1.339E-11,39.570,13.390
-1.340E-11,39.572,13.399
-1.340E-11,39.572,13.403
-1.341E-11,39.572,13.409
-1.341E-11,39.573,13.414
-1.342E-11,39.573,13.418
-1.343E-11,39.573,13.430
-1.343E-11,39.573,13.433
-1.344E-11,39.573,13.437
-1.345E-11,39.573,13.447
-1.345E-11,39.574,13.449
-1.346E-11,39.573,13.457
-1.346E-11,39.568,13.462
-1.347E-11,39.574,13.469
-1.348E-11,39.572,13.478
-1.348E-11,39.573,13.483
-1.349E-11,39.572,13.489
-1.349E-11,39.572,13.486
-1.350E-11,39.571,13.496
-1.350E-11,39.576,13.499
-1.351E-11,39.571,13.507
-1.351E-11,39.571,13.511
-1.351E-11,39.570,13.512
-1.352E-11,39.574,13.521
-1.352E-11,39.572,13.524
-1.353E-11,39.568,13.535
-1.354E-11,39.573,13.539
-1.355E-11,39.572,13.546
-1.355E-11,39.570,13.551
-1.356E-11,39.574,13.561
-1.356E-11,39.572,13.561
-1.357E-11,39.570,13.569
-1.357E-11,39.572,13.572
-1.358E-11,39.572,13.579
-1.358E-11,39.571,13.582
-1.359E-11,39.569,13.588
-1.359E-11,39.569,13.593
-1.360E-11,39.572,13.596
-1.360E-11,39.573,13.604
-1.361E-11,39.573,13.608
-1.362E-11,39.570,13.618
-1.362E-11,39.575,13.618
-1.363E-11,39.572,13.631
-1.364E-11,39.572,13.638
-1.364E-11,39.570,13.644
-1.365E-11,39.572,13.650
-1.365E-11,39.573,13.652
-1.365E-11,39.571,13.654
-1.366E-11,39.571,13.655
-1.366E-11,39.571,13.658
-1.366E-11,39.571,13.660
-1.367E-11,39.571,13.669
-1.367E-11,39.570,13.670
-1.368E-11,39.572,13.679
-1.369E-11,39.572,13.687
-1.369E-11,39.570,13.687
-1.370E-11,39.570,13.699
-1.370E-11,39.571,13.696
-1.370E-11,39.573,13.702
-1.371E-11,39.571,13.712
-1.372E-11,39.572,13.717
-1.372E-11,39.573,13.719
-1.373E-11,39.570,13.729
-1.373E-11,39.572,13.730
-1.373E-11,39.571,13.733
-1.374E-11,39.571,13.739
-1.375E-11,39.572,13.745
-1.375E-11,39.571,13.747
-1.376E-11,39.572,13.757
-1.376E-11,39.569,13.759
-1.376E-11,39.571,13.761
-1.376E-11,39.571,13.764
-1.377E-11,39.574,13.774
-1.378E-11,39.569,13.777
-1.378E-11,39.570,13.777
-1.379E-11,39.572,13.788
-1.379E-11,39.573,13.787
-1.379E-11,39.572,13.793
-1.380E-11,39.573,13.796
-1.380E-11,39.572,13.801
-1.380E-11,39.571,13.802
-1.381E-11,39.570,13.813
-1.381E-11,39.572,13.809
-1.382E-11,39.571,13.818
-1.382E-11,39.572,13.822
-1.383E-11,39.571,13.825
-1.383E-11,39.571,13.831
-1.383E-11,39.572,13.832
-1.384E-11,39.571,13.841
-1.384E-11,39.571,13.844
-1.385E-11,39.573,13.849
-1.385E-11,39.571,13.846
-1.385E-11,39.571,13.853
-1.386E-11,39.569,13.856
-1.386E-11,39.571,13.861
-1.387E-11,39.576,13.867
-1.387E-11,39.573,13.873
-1.388E-11,39.568,13.878
-1.388E-11,39.572,13.880
-1.388E-11,39.571,13.885
-1.389E-11,39.572,13.886
-1.389E-11,39.565,13.891
-1.390E-11,39.569,13.900
-1.390E-11,39.573,13.898
-1.391E-11,39.572,13.905
-1.391E-11,39.570,13.911
-1.391E-11,39.570,13.915
-1.391E-11,39.571,13.914
-1.392E-11,39.572,13.918
-1.393E-11,39.571,13.927
-1.393E-11,39.571,13.928
-1.394E-11,39.569,13.936
-1.394E-11,39.572,13.937
-1.395E-11,39.571,13.946
-1.394E-11,39.564,13.943
-1.395E-11,39.571,13.950
-1.396E-11,39.557,13.958
-1.396E-11,39.572,13.959
-1.396E-11,39.571,13.963
-1.396E-11,39.570,13.965
-1.397E-11,39.570,13.970
-1.397E-11,39.572,13.973
-1.398E-11,39.564,13.981
-1.398E-11,39.577,13.984
-1.399E-11,39.571,13.990
-1.399E-11,39.571,13.991
-1.399E-11,39.571,13.995
-1.400E-11,39.570,13.999
-1.400E-11,39.571,14.000
-1.401E-11,39.571,14.005
-1.401E-11,39.572,14.009
-1.402E-11,39.572,14.017
-1.402E-11,39.572,14.021
-1.403E-11,39.565,14.026
-1.403E-11,39.571,14.029
-1.404E-11,39.570,14.036
-1.404E-11,39.571,14.035
-1.404E-11,39.572,14.040
-1.404E-11,39.571,14.040
-1.404E-11,39.570,14.039
-1.405E-11,39.570,14.048
-1.405E-11,39.571,14.052
-1.405E-11,39.570,14.054
-1.406E-11,39.570,14.063
-1.406E-11,39.573,14.063
-1.406E-11,39.572,14.064
-1.406E-11,39.570,14.064
-1.407E-11,39.571,14.072
-1.408E-11,39.570,14.080
-1.408E-11,39.569,14.079
-1.408E-11,39.574,14.082
-1.409E-11,39.582,14.088
-1.410E-11,39.586,14.098
-1.411E-11,39.589,14.110
-1.412E-11,39.588,14.122
-1.413E-11,39.589,14.133
-1.414E-11,39.591,14.144
-1.415E-11,39.603,14.152
-1.417E-11,39.606,14.167
-1.418E-11,39.608,14.181
-1.420E-11,39.608,14.197
-1.421E-11,39.610,14.209
-1.422E-11,39.609,14.217
-1.423E-11,39.623,14.228
-1.423E-11,39.611,14.230
-1.423E-11,39.613,14.234
-1.424E-11,39.620,14.242
-1.425E-11,39.632,14.251
-1.427E-11,39.626,14.271
-1.428E-11,39.626,14.281
-1.429E-11,39.629,14.290
-1.430E-11,39.637,14.302
-1.431E-11,39.643,14.311
-1.433E-11,39.653,14.329
-1.434E-11,39.662,14.342
-1.437E-11,39.673,14.371
-1.439E-11,39.680,14.392
-1.442E-11,39.689,14.419
-1.445E-11,39.683,14.445
-1.447E-11,39.684,14.468
-1.448E-11,39.686,14.481
-1.450E-11,39.694,14.495
-1.451E-11,39.700,14.507
-1.452E-11,39.706,14.521
-1.454E-11,39.719,14.544
-1.457E-11,39.724,14.567
-1.459E-11,39.722,14.586
-1.461E-11,39.722,14.610
-1.463E-11,39.721,14.626
-1.464E-11,39.723,14.635
-1.464E-11,39.724,14.644
-1.465E-11,39.726,14.651
-1.466E-11,39.730,14.656
-1.467E-11,39.735,14.668
-1.468E-11,39.741,14.680
-1.470E-11,39.748,14.695
-1.471E-11,39.755,14.714
-1.474E-11,39.768,14.739
-1.476E-11,39.779,14.762
-1.479E-11,39.789,14.793
-1.482E-11,39.802,14.825
-1.486E-11,39.815,14.858
-1.490E-11,39.828,14.901
-1.495E-11,39.835,14.948
-1.499E-11,39.837,14.988
-1.503E-11,39.850,15.026
-1.506E-11,39.854,15.065
-1.510E-11,39.855,15.102
-1.513E-11,39.866,15.128
-1.516E-11,39.877,15.159
-1.519E-11,39.886,15.189
-1.523E-11,39.899,15.225
-1.526E-11,39.912,15.264
-1.531E-11,39.929,15.310
-1.536E-11,39.950,15.363
-1.542E-11,39.960,15.418
-1.547E-11,39.970,15.474
-1.553E-11,39.982,15.533
-1.559E-11,39.984,15.589
-1.564E-11,39.990,15.635
-1.567E-11,40.005,15.675
-1.571E-11,40.028,15.713
-1.576E-11,40.038,15.760
-1.581E-11,40.044,15.811
-1.586E-11,40.055,15.865
-1.592E-11,40.068,15.920
-1.597E-11,40.089,15.968
-1.602E-11,40.100,16.020
-1.608E-11,40.103,16.078
-1.613E-11,40.113,16.126
-1.618E-11,40.133,16.175
-1.623E-11,40.139,16.226
-1.627E-11,40.155,16.275
-1.633E-11,40.172,16.331
-1.639E-11,40.182,16.388
-1.645E-11,40.193,16.449
-1.651E-11,40.209,16.510
-1.656E-11,40.218,16.565
-1.662E-11,40.233,16.620
-1.668E-11,40.245,16.682
-1.674E-11,40.253,16.741
-1.679E-11,40.267,16.793
-1.685E-11,40.272,16.845
-1.690E-11,40.293,16.897
-1.695E-11,40.306,16.951
-1.702E-11,40.318,17.024
-1.709E-11,40.323,17.089
-1.716E-11,40.332,17.157
-1.722E-11,40.340,17.215
-1.727E-11,40.339,17.270
-1.732E-11,40.377,17.317
-1.738E-11,40.424,17.376
-1.747E-11,40.445,17.473
-1.760E-11,40.454,17.596
-1.771E-11,40.468,17.709
-1.781E-11,40.479,17.813
-1.790E-11,40.491,17.901
-1.798E-11,40.509,17.979
-1.805E-11,40.526,18.054
-1.813E-11,40.536,18.134
-1.822E-11,40.550,18.217
-1.830E-11,40.562,18.296
-1.837E-11,40.584,18.366
-1.845E-11,40.604,18.449
-1.853E-11,40.614,18.533
-1.861E-11,40.616,18.611
-1.868E-11,40.619,18.678
-1.873E-11,40.617,18.726
-1.876E-11,40.618,18.762
-1.878E-11,40.617,18.784
-1.880E-11,40.616,18.797
-1.880E-11,40.614,18.802
-1.881E-11,40.616,18.805
-1.881E-11,40.619,18.806
-1.881E-11,40.620,18.806
-1.881E-11,40.615,18.806
-1.880E-11,40.621,18.804
-1.881E-11,40.619,18.805
-1.880E-11,40.619,18.802
-1.880E-11,40.619,18.804
-1.880E-11,40.619,18.800
-1.879E-11,40.620,18.794
-1.880E-11,40.623,18.795
-1.879E-11,40.620,18.795
-1.879E-11,40.621,18.791
-1.879E-11,40.618,18.790
-1.879E-11,40.619,18.788
-1.879E-11,40.622,18.792
-1.879E-11,40.618,18.793
-1.879E-11,40.619,18.788
-1.879E-11,40.615,18.789
-1.878E-11,40.619,18.784
-1.878E-11,40.617,18.783
-1.878E-11,40.619,18.781
-1.878E-11,40.619,18.784
-1.878E-11,40.618,18.784
-1.878E-11,40.618,18.781
-1.878E-11,40.617,18.781
-1.878E-11,40.618,18.781
-1.877E-11,40.616,18.775
-1.878E-11,40.616,18.776
-1.877E-11,40.619,18.771
-1.877E-11,40.619,18.773
-1.878E-11,40.619,18.778
-1.878E-11,40.618,18.778
-1.878E-11,40.620,18.780
-1.878E-11,40.618,18.779
-1.877E-11,40.619,18.773
-1.878E-11,40.619,18.778
-1.877E-11,40.619,18.775
-1.877E-11,40.617,18.773
-1.878E-11,40.618,18.775
-1.877E-11,40.619,18.771
-1.877E-11,40.618,18.771
-1.877E-11,40.619,18.770
-1.877E-11,40.618,18.773
-1.878E-11,40.614,18.776
-1.878E-11,40.620,18.782
-1.878E-11,40.618,18.776
-1.878E-11,40.618,18.778
-1.878E-11,40.619,18.783
-1.878E-11,40.619,18.784
-1.878E-11,40.617,18.781
-1.879E-11,40.621,18.787
-1.879E-11,40.618,18.786
-1.879E-11,40.618,18.790
-1.879E-11,40.609,18.790
-1.879E-11,40.615,18.792
-1.879E-11,40.620,18.791
-1.879E-11,40.630,18.792
-1.880E-11,40.634,18.800
-1.882E-11,40.636,18.818
-1.884E-11,40.630,18.841
-1.886E-11,40.639,18.864
-1.889E-11,40.657,18.885
-1.891E-11,40.680,18.915
-1.897E-11,40.736,18.971
-1.908E-11,40.773,19.082
-1.925E-11,40.785,19.248
-1.941E-11,40.787,19.411
-1.955E-11,40.788,19.548
-1.964E-11,40.788,19.639
-1.970E-11,40.790,19.702
-1.974E-11,40.790,19.742
-1.976E-11,40.787,19.761
-1.977E-11,40.793,19.774
-1.978E-11,40.790,19.779
-1.978E-11,40.789,19.784
-1.979E-11,40.793,19.789
-1.980E-11,40.796,19.798
-1.979E-11,40.788,19.794
-1.980E-11,40.790,19.797
-1.980E-11,40.835,19.798
-1.985E-11,40.910,19.847
-1.998E-11,40.940,19.979
-2.016E-11,40.956,20.164
-2.036E-11,40.956,20.358
-2.051E-11,40.973,20.509
-2.063E-11,40.987,20.628
-2.073E-11,40.994,20.729
-2.081E-11,40.993,20.811
-2.088E-11,41.003,20.878
-2.093E-11,41.001,20.934
-2.097E-11,40.999,20.968
-2.100E-11,41.000,20.998
-2.101E-11,41.000,21.010
-2.102E-11,41.004,21.021
-2.102E-11,40.999,21.019
-2.102E-11,40.997,21.020
-2.102E-11,41.000,21.017
-2.102E-11,41.000,21.021
-2.101E-11,40.999,21.013
-2.101E-11,40.999,21.011
-2.101E-11,40.994,21.006
-2.101E-11,41.000,21.011
-2.100E-11,40.999,21.001
-2.100E-11,40.997,21.002
-2.099E-11,40.996,20.992
-2.099E-11,41.000,20.993
-2.099E-11,40.999,20.988
-2.098E-11,41.001,20.982
-2.098E-11,40.999,20.982
-2.098E-11,40.999,20.978
-2.098E-11,41.006,20.976
-2.097E-11,41.014,20.972
-2.099E-11,41.015,20.986
-2.100E-11,41.020,21.000
-2.103E-11,41.038,21.028
-2.107E-11,41.048,21.067
-2.112E-11,41.054,21.120
-2.118E-11,41.064,21.180
-2.124E-11,41.085,21.239
-2.131E-11,41.100,21.310
-2.139E-11,41.102,21.386
-2.147E-11,41.126,21.467
-2.154E-11,41.152,21.541
-2.164E-11,41.173,21.638
-2.175E-11,41.184,21.748
-2.185E-11,41.184,21.853
-2.194E-11,41.189,21.942
-2.200E-11,41.188,22.004
-2.205E-11,41.188,22.047
-2.207E-11,41.187,22.068
-2.208E-11,41.190,22.081
-2.209E-11,41.245,22.090
-2.215E-11,41.312,22.151
-2.231E-11,41.340,22.307
-2.251E-11,41.351,22.507
-2.271E-11,41.352,22.706
-2.286E-11,41.349,22.860
-2.297E-11,41.355,22.970
-2.303E-11,41.357,23.034
-2.307E-11,41.372,23.069
-2.310E-11,41.391,23.104
-2.316E-11,41.419,23.156
-2.324E-11,41.440,23.243
-2.336E-11,41.454,23.355
-2.348E-11,41.472,23.480
-2.359E-11,41.485,23.595
-2.370E-11,41.489,23.698
-2.378E-11,41.491,23.781
-2.384E-11,41.494,23.843
-2.388E-11,41.492,23.883
-2.391E-11,41.515,23.911
-2.395E-11,41.562,23.947
-2.403E-11,41.603,24.031
-2.417E-11,41.628,24.173
-2.435E-11,41.648,24.350
-2.450E-11,41.646,24.504
-2.464E-11,41.667,24.639
-2.475E-11,41.686,24.751
-2.486E-11,41.727,24.865
-2.500E-11,41.746,25.000
-2.515E-11,41.753,25.149
-2.528E-11,41.757,25.280
-2.539E-11,41.783,25.395
-2.549E-11,41.803,25.489
-2.558E-11,41.813,25.581
-2.567E-11,41.825,25.667
-2.575E-11,41.851,25.751
-2.584E-11,41.864,25.845
-2.595E-11,41.878,25.946
-2.604E-11,41.895,26.042
-2.612E-11,41.905,26.124
-2.621E-11,41.918,26.207
-2.628E-11,41.932,26.281
-2.635E-11,41.940,26.351
-2.641E-11,41.941,26.413
-2.647E-11,41.945,26.469
-2.651E-11,41.939,26.507
-2.654E-11,41.947,26.535
-2.655E-11,41.949,26.553
-2.656E-11,41.955,26.556
-2.656E-11,41.953,26.563
-2.658E-11,41.975,26.578
-2.660E-11,41.991,26.601
-2.664E-11,41.996,26.639
-2.669E-11,42.002,26.688
-2.673E-11,42.010,26.735
-2.677E-11,42.027,26.772
-2.681E-11,42.017,26.810
-2.684E-11,42.022,26.836
-2.686E-11,42.025,26.865
-2.688E-11,42.024,26.880
-2.690E-11,42.036,26.896
-2.691E-11,42.046,26.906
-2.693E-11,42.061,26.935
-2.698E-11,42.068,26.977
-2.703E-11,42.090,27.030
-2.709E-11,42.115,27.095
-2.717E-11,42.134,27.173
-2.726E-11,42.143,27.263
-2.735E-11,42.162,27.352
-2.745E-11,42.187,27.447
-2.754E-11,42.190,27.542
-2.763E-11,42.207,27.632
-2.772E-11,42.219,27.716
-2.780E-11,42.239,27.798
-2.787E-11,42.247,27.874
-2.795E-11,42.254,27.951
-2.801E-11,42.258,28.011
-2.806E-11,42.264,28.064
-2.810E-11,42.269,28.101
-2.814E-11,42.273,28.138
-2.816E-11,42.277,28.160
