"Current (A) Run #29","Voltage (V) Run #29","Electron current (pA) Run #29"
-1.114E-12,17.924,1.114
-1.117E-12,17.926,1.117
-1.117E-12,17.941,1.117
-1.124E-12,17.957,1.124
-1.123E-12,17.968,1.123
-1.128E-12,17.978,1.128
-1.127E-12,17.994,1.127
-1.133E-12,18.003,1.133
-1.134E-12,18.009,1.134
-1.139E-12,18.019,1.139
-1.143E-12,18.029,1.143
-1.147E-12,18.052,1.147
-1.157E-12,18.064,1.157
-1.157E-12,18.094,1.157
-1.162E-12,18.122,1.162
-1.167E-12,18.140,1.167
-1.173E-12,18.156,1.173
-1.178E-12,18.176,1.178
-1.187E-12,18.202,1.187
-1.193E-12,18.224,1.193
-1.197E-12,18.243,1.197
-1.198E-12,18.255,1.198
-1.211E-12,18.267,1.211
-1.218E-12,18.284,1.218
-1.223E-12,18.304,1.223
-1.224E-12,18.326,1.224
-1.235E-12,18.337,1.235
-1.240E-12,18.354,1.240
-1.246E-12,18.376,1.246
-1.252E-12,18.392,1.252
-1.254E-12,18.416,1.254
-1.260E-12,18.438,1.260
-1.266E-12,18.461,1.266
-1.271E-12,18.480,1.271
-1.279E-12,18.510,1.279
-1.287E-12,18.541,1.287
-1.295E-12,18.574,1.295
-1.304E-12,18.600,1.304
-1.310E-12,18.638,1.310
-1.323E-12,18.671,1.323
-1.338E-12,18.707,1.338
-1.351E-12,18.736,1.351
-1.358E-12,18.763,1.358
-1.370E-12,18.795,1.370
-1.383E-12,18.828,1.383
-1.392E-12,18.854,1.392
-1.400E-12,18.888,1.400
-1.415E-12,18.933,1.415
-1.425E-12,18.982,1.425
-1.429E-12,19.020,1.429
-1.446E-12,19.048,1.446
-1.455E-12,19.084,1.455
-1.472E-12,19.116,1.472
-1.485E-12,19.156,1.485
-1.496E-12,19.180,1.496
-1.509E-12,19.202,1.509
-1.521E-12,19.210,1.521
-1.528E-12,19.226,1.528
-1.531E-12,19.249,1.531
-1.538E-12,19.270,1.538
-1.550E-12,19.286,1.550
-1.559E-12,19.329,1.559
-1.565E-12,19.368,1.565
-1.572E-12,19.405,1.572
-1.585E-12,19.425,1.585
-1.599E-12,19.453,1.599
-1.609E-12,19.494,1.609
-1.618E-12,19.520,1.618
-1.626E-12,19.537,1.626
-1.639E-12,19.551,1.639
-1.645E-12,19.565,1.645
-1.651E-12,19.574,1.651
-1.656E-12,19.567,1.656
-1.659E-12,19.575,1.659
-1.665E-12,19.576,1.665
-1.665E-12,19.576,1.665
-1.662E-12,19.574,1.662
-1.669E-12,19.577,1.669
-1.670E-12,19.577,1.670
-1.675E-12,19.576,1.675
-1.674E-12,19.577,1.674
-1.670E-12,19.582,1.670
-1.674E-12,19.627,1.674
-1.674E-12,19.681,1.674
-1.682E-12,19.751,1.682
-1.692E-12,19.801,1.692
-1.704E-12,19.845,1.704
-1.719E-12,19.890,1.719
-1.731E-12,19.972,1.731
-1.749E-12,20.044,1.749
-1.767E-12,20.102,1.767
-1.785E-12,20.147,1.785
