"Current (A) Run #33","Voltage (V) Run #33","Electron current (pA) Run #33"
-3.581E-11,20.160,35.811
-3.610E-11,20.206,36.102
-3.636E-11,20.282,36.361
-3.663E-11,20.357,36.630
-3.693E-11,20.427,36.934
-3.725E-11,20.480,37.248
-3.755E-11,20.526,37.546
-3.782E-11,20.585,37.820
-3.806E-11,20.642,38.063
-3.830E-11,20.715,38.296
-3.854E-11,20.799,38.538
-3.883E-11,20.882,38.828
-3.915E-11,20.922,39.152
-3.945E-11,20.952,39.449
-3.969E-11,20.997,39.688
-3.987E-11,21.023,39.874
-4.001E-11,21.041,40.010
-4.010E-11,21.056,40.098
-4.015E-11,21.076,40.148
-4.017E-11,21.136,40.170
-4.022E-11,21.183,40.216
-4.029E-11,21.200,40.288
-4.038E-11,21.238,40.378
-4.046E-11,21.283,40.464
-4.056E-11,21.371,40.556
-4.071E-11,21.422,40.706
-4.088E-11,21.442,40.882
-4.104E-11,21.464,41.038
-4.115E-11,21.474,41.152
-4.121E-11,21.478,41.209
-4.121E-11,21.482,41.215
-4.118E-11,21.501,41.184
-4.114E-11,21.571,41.145
-4.115E-11,21.644,41.146
-4.123E-11,21.672,41.227
-4.133E-11,21.685,41.333
-4.142E-11,21.689,41.420
-4.147E-11,21.693,41.467
-4.146E-11,21.690,41.465
-4.143E-11,21.691,41.427
-4.136E-11,21.691,41.362
-4.128E-11,21.691,41.282
-4.120E-11,21.692,41.196
-4.110E-11,21.705,41.101
-4.102E-11,21.750,41.019
-4.097E-11,21.776,40.970
-4.096E-11,21.818,40.956
-4.099E-11,21.878,40.989
-4.106E-11,21.945,41.060
-4.118E-11,22.022,41.177
-4.133E-11,22.094,41.335
-4.152E-11,22.132,41.517
-4.169E-11,22.175,41.690
-4.185E-11,22.244,41.855
-4.201E-11,22.278,42.009
-4.215E-11,22.295,42.148
-4.226E-11,22.314,42.264
-4.234E-11,22.301,42.339
-4.237E-11,22.332,42.371
-4.238E-11,22.400,42.380
-4.241E-11,22.455,42.415
-4.249E-11,22.494,42.490
-4.259E-11,22.518,42.586
-4.268E-11,22.555,42.684
-4.277E-11,22.598,42.767
-4.284E-11,22.621,42.844
-4.291E-11,22.649,42.909
-4.297E-11,22.678,42.965
-4.301E-11,22.712,43.014
-4.306E-11,22.778,43.065
-4.313E-11,22.875,43.129
-4.323E-11,22.925,43.229
-4.335E-11,22.948,43.355
-4.347E-11,22.964,43.471
