"Current (A) Run #32","Voltage (V) Run #32","Electron current (pA) Run #32"
-9.651E-13,33.667,0.965
-9.626E-13,33.722,0.963
-9.641E-13,33.749,0.964
-9.670E-13,33.806,0.967
-9.646E-13,33.867,0.965
-9.651E-13,33.918,0.965
-9.625E-13,33.987,0.962
-9.622E-13,34.054,0.962
-9.592E-13,34.086,0.959
-9.610E-13,34.098,0.961
-9.617E-13,34.135,0.962
-9.637E-13,34.193,0.964
-9.627E-13,34.233,0.963
-9.637E-13,34.273,0.964
-9.614E-13,34.350,0.961
-9.552E-13,34.433,0.955
-9.523E-13,34.468,0.952
-9.506E-13,34.505,0.951
-9.513E-13,34.544,0.951
-9.467E-13,34.575,0.947
-9.484E-13,34.613,0.948
-9.472E-13,34.644,0.947
-9.438E-13,34.706,0.944
-9.440E-13,34.786,0.944
-9.386E-13,34.831,0.939
-9.403E-13,34.866,0.940
-9.372E-13,34.898,0.937
-9.342E-13,34.952,0.934
-9.299E-13,34.991,0.930
-9.259E-13,35.016,0.926
-9.262E-13,35.055,0.926
-9.217E-13,35.086,0.922
-9.165E-13,35.137,0.916
-9.177E-13,35.196,0.918
-9.104E-13,35.258,0.910
-9.062E-13,35.310,0.906
-9.019E-13,35.353,0.902
-8.994E-13,35.409,0.899
-8.907E-13,35.452,0.891
-8.908E-13,35.483,0.891
-8.868E-13,35.531,0.887
-8.802E-13,35.572,0.880
-8.766E-13,35.607,0.877
-8.703E-13,35.663,0.870
-8.662E-13,35.720,0.866
-8.602E-13,35.763,0.860
-8.564E-13,35.795,0.856
-8.530E-13,35.852,0.853
-8.499E-13,35.897,0.850
-8.384E-13,35.943,0.838
-8.375E-13,35.986,0.838
-8.317E-13,36.031,0.832
-8.277E-13,36.064,0.828
-8.230E-13,36.105,0.823
-8.187E-13,36.153,0.819
-8.133E-13,36.210,0.813
-8.100E-13,36.253,0.810
-8.047E-13,36.281,0.805
-7.981E-13,36.313,0.798
-7.956E-13,36.357,0.796
-7.918E-13,36.382,0.792
-7.912E-13,36.400,0.791
-7.835E-13,36.428,0.783
-7.805E-13,36.444,0.780
-7.728E-13,36.457,0.773
-7.690E-13,36.486,0.769
-7.678E-13,36.517,0.768
-7.629E-13,36.529,0.763
-7.608E-13,36.545,0.761
-7.563E-13,36.553,0.756
-7.608E-13,36.574,0.761
-7.557E-13,36.609,0.756
-7.523E-13,36.638,0.752
-7.497E-13,36.678,0.750
-7.466E-13,36.718,0.747
-7.431E-13,36.762,0.743
-7.382E-13,36.794,0.738
-7.357E-13,36.843,0.736
-7.285E-13,36.879,0.729
-7.218E-13,36.911,0.722
-7.181E-13,36.967,0.718
-7.101E-13,37.062,0.710
-7.089E-13,37.116,0.709
-6.969E-13,37.145,0.697
-6.893E-13,37.175,0.689
-6.881E-13,37.185,0.688
-6.810E-13,37.200,0.681
-6.806E-13,37.248,0.681
-6.752E-13,37.280,0.675
-6.736E-13,37.297,0.674
-6.739E-13,37.312,0.674
-6.685E-13,37.316,0.669
-6.662E-13,37.333,0.666
-6.637E-13,37.394,0.664
-6.628E-13,37.427,0.663
-6.547E-13,37.452,0.655
-6.515E-13,37.449,0.651
-6.481E-13,37.450,0.648
-6.481E-13,37.450,0.648
-6.487E-13,37.451,0.649
-6.454E-13,37.453,0.645
-6.453E-13,37.447,0.645
-6.544E-13,37.450,0.654
-6.523E-13,37.459,0.652
-6.524E-13,37.499,0.652
-6.521E-13,37.559,0.652
-6.485E-13,37.631,0.648
-6.422E-13,37.673,0.642
-6.382E-13,37.719,0.638
-6.318E-13,37.828,0.632
-6.237E-13,37.913,0.624
-6.145E-13,37.952,0.614
-6.071E-13,38.010,0.607
-6.034E-13,38.061,0.603
-5.929E-13,38.086,0.593
-5.926E-13,38.131,0.593
-5.870E-13,38.195,0.587
-5.845E-13,38.239,0.584
-5.797E-13,38.272,0.580
-5.776E-13,38.315,0.578
-5.690E-13,38.370,0.569
-5.649E-13,38.403,0.565
-5.641E-13,38.427,0.564
-5.583E-13,38.465,0.558
-5.581E-13,38.542,0.558
-5.546E-13,38.580,0.555
-5.550E-13,38.615,0.555
-5.503E-13,38.646,0.550
-5.498E-13,38.717,0.550
-5.533E-13,38.786,0.553
-5.437E-13,38.841,0.544
-5.471E-13,38.896,0.547
-5.435E-13,38.950,0.543
-5.414E-13,39.022,0.541
-5.433E-13,39.091,0.543
-5.434E-13,39.152,0.543
-5.407E-13,39.208,0.541
-5.469E-13,39.261,0.547
-5.423E-13,39.297,0.542
-5.433E-13,39.365,0.543
-5.452E-13,39.445,0.545
-5.490E-13,39.503,0.549
-5.550E-13,39.554,0.555
-5.526E-13,39.597,0.553
-5.541E-13,39.650,0.554
-5.575E-13,39.704,0.558
-5.670E-13,39.768,0.567
-5.694E-13,39.834,0.569
-5.766E-13,39.904,0.577
-5.820E-13,39.952,0.582
-5.847E-13,40.007,0.585
-5.923E-13,40.083,0.592
-5.973E-13,40.140,0.597
-6.046E-13,40.196,0.605
-6.105E-13,40.243,0.610
-6.176E-13,40.284,0.618
-6.245E-13,40.335,0.624
-6.357E-13,40.407,0.636
-6.405E-13,40.481,0.640
-6.508E-13,40.546,0.651
-6.608E-13,40.590,0.661
-6.686E-13,40.631,0.669
-6.845E-13,40.678,0.685
-6.902E-13,40.730,0.690
-6.934E-13,40.756,0.693
-7.053E-13,40.787,0.705
-7.127E-13,40.853,0.713
-7.214E-13,40.908,0.721
-7.310E-13,40.950,0.731
-7.382E-13,41.012,0.738
-7.492E-13,41.084,0.749
-7.559E-13,41.158,0.756
-7.642E-13,41.205,0.764
-7.867E-13,41.232,0.787
-7.967E-13,41.239,0.797
-8.025E-13,41.241,0.802
-8.107E-13,41.243,0.811
-8.205E-13,41.242,0.821
-8.237E-13,41.241,0.824
-8.259E-13,41.241,0.826
-8.265E-13,41.242,0.827
-8.277E-13,41.245,0.828
-8.290E-13,41.324,0.829
-8.333E-13,41.409,0.833
-8.376E-13,41.472,0.838
-8.501E-13,41.536,0.850
-8.623E-13,41.625,0.862
-8.743E-13,41.727,0.874
-8.922E-13,41.773,0.892
-9.029E-13,41.797,0.903
-9.225E-13,41.827,0.922
-9.344E-13,41.887,0.934
-9.451E-13,41.962,0.945
-9.554E-13,42.018,0.955
-9.690E-13,42.034,0.969
-9.817E-13,42.051,0.982
-9.941E-13,42.080,0.994
-1.005E-12,42.156,1.005
-1.016E-12,42.259,1.016
-1.020E-12,42.364,1.020
-1.037E-12,42.454,1.037
-1.054E-12,42.547,1.054
-1.070E-12,42.632,1.070
-1.086E-12,42.727,1.086
-1.107E-12,42.768,1.107
-1.125E-12,42.819,1.125
-1.138E-12,42.906,1.138
-1.151E-12,42.989,1.151
-1.170E-12,43.052,1.170
-1.178E-12,43.107,1.178
-1.193E-12,43.190,1.193
-1.213E-12,43.253,1.213
